,SMA_30,SMA_100,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,RSI_14,HLC3,OHLC4,LR_14,STOCHk_14_3_3,STOCHd_14_3_3
2020-04-01,70.27808701197306,74.26903607726096,-2.5681901821310618,0.7576339664693545,-3.3258241486004163,57.06924651615877,66.69316784620284,76.31708917624691,28.860291513629175,0.4943283949301825,46.79292202990505,67.13416647911072,67.23012474179266,65.60837827095615,67.00202580157982,62.464404370097306
2020-04-02,69.61341201464334,74.19572857546805,-2.5490486208821324,0.6214204221746273,-3.1704690430567597,57.56317864032303,66.03705533266067,74.51093202499831,25.66400530626514,0.3661884764396616,43.0477179474775,64.29025056362151,64.35093733668326,65.3839555547525,66.50057652538699,66.35037092760719
2020-04-03,69.02584536155064,74.13296859359741,-2.3904299778034073,0.6240312522026823,-3.0144612300060896,58.12437659702653,65.55033034443855,72.97628409185057,22.657258043984996,0.47678217409184925,45.44704024407294,64.64066702524822,64.39999961853027,66.14340306145806,64.49303289710443,65.99854507469043
2020-04-06,68.45948704560598,74.05758359932899,-2.313342026224845,0.5608953630249958,-2.8742373892498407,58.60825809412055,65.08930532455443,71.57035255498832,19.914322938668573,0.4369852519386965,44.145959972086565,64.47566817601522,64.60762570500374,65.86322732925412,59.63535677172692,63.54298873140612
2020-04-07,68.15177026271819,74.02951855063438,-1.8496997651478182,0.8196300992816181,-2.6693298644294363,58.56941788184103,65.12200508594512,71.6745922900492,20.124033943538063,0.795684183536201,51.68835403887653,68.23349935213724,67.84589992165566,66.9602459911724,74.9650369377822,66.36447553553785
2020-04-08,67.9035452222824,73.99381854605673,-1.5101601217805296,0.9273357941191258,-2.4374959158996554,59.03746100621074,64.9294049835205,70.82134896083025,18.148769355903283,0.7975327578967953,50.81017220467392,69.30399927298227,69.74849968552589,67.57456368619268,78.66603338440883,71.08880903130598
2020-04-09,67.70121196826298,73.97288355445862,-1.0982965381658119,1.0713595021870752,-2.169656040352887,58.94933782702852,64.97042999148368,70.99152215593884,18.534869371326007,0.9216486170089203,53.26579582970628,69.6846665461858,69.57025007605552,68.45228730055,89.30886374538001,80.9799780225237
2020-04-13,67.6165786385536,73.9530285282135,-0.7613005078946031,1.1266844259666273,-1.8879849338612305,58.98186586605033,65.32257994771004,71.66329402936975,19.413544556064316,0.8743993206823027,53.300824015572886,70.27166487375894,70.39537406563758,68.89817844956791,87.7920113531897,85.25563616099285
2020-04-14,67.52076189597447,73.92886353969573,-0.4867217155159693,1.1210105746762091,-1.6077322901921784,58.90343876572041,65.36945483922958,71.83547091273874,19.782989132804502,0.865336613688806,53.34016733791139,69.72433412075043,69.73475069403648,69.04363070718536,90.575511151174,89.2254620832479
2020-04-15,67.38603685617446,73.92870354938506,-0.06426561952294207,1.2347733365353892,-1.2990389560583313,59.12910502051358,65.96226246237754,72.7954199042415,20.718384078354934,0.9874202382747552,57.49125242062135,72.20433355967204,72.01626284718512,70.08240405517618,92.64693951367661,90.33815400601344
2020-04-16,67.28737848917643,73.91438605093956,0.1572655375653369,1.1650435948989346,-1.0077780573335977,59.15763421554274,66.31217490077019,73.46671558599763,21.578362332206808,0.8445416241216298,54.63302754398102,71.24224865436554,71.25882350802422,70.61047162653327,89.82852118295165,91.01699061593409
2020-04-17,67.12707836627959,73.91192102646828,0.39606597936938215,1.1230752293623838,-0.7270092499930018,59.516778209062075,66.8130496919155,74.10932117476891,21.84085748666635,0.8611054999624774,56.064010360066526,71.77666544914244,71.85824878215789,71.53664561633218,91.25838254520238,91.24461441394355
2020-04-20,67.0580783732732,73.92086606097222,0.6414676101415324,1.0947814881076274,-0.453313877966095,59.861442962007736,67.33107481598853,74.80070666996932,22.18776953849262,0.8707630180682973,57.41961828287579,72.65983360608419,72.78237550854683,72.25556882203286,90.7786889867961,90.62186423831672
2020-04-21,67.00317832628886,73.92060610032081,0.7447370536093558,0.9584407452603607,-0.21370369165100483,60.962589408692644,67.91379994750022,74.86501048630781,20.470686500184396,0.7828429110623584,55.041487605321755,72.1650005896886,72.13383839130401,72.80738243254986,91.69962204920948,91.24556452706933
2020-04-22,67.03334494829178,73.88593612480163,0.6099112758990088,0.658891974040011,-0.048980698141002116,62.578401069368766,68.39709995627403,74.2157988431793,17.01446081961117,0.5731178372926657,49.44608745940123,69.7328341960907,70.0318875014782,72.54682579517362,80.89840483508956,87.79223862369838
2020-04-23,67.00974494695663,73.87376112031936,0.6833164614369309,0.5858377276623464,0.09747873377458449,63.01291610387729,68.73794993281363,74.46298376174998,16.657563498859517,0.7481688166336712,53.96856265460086,71.32883325417835,71.1757502913475,72.44546537965206,76.50957277511405,83.0358665531377
2020-04-24,67.07895329713821,73.8548686375618,0.7110434958235317,0.49085180963915775,0.22019168618437393,63.5512773012316,69.0672623848915,74.58324746855142,15.972792009392089,0.7027279159485648,53.360560292196396,71.65791776974994,71.67856274843216,72.25008716934329,74.53281575318395,77.31359778779586
2020-04-27,67.39621994098027,73.85067359542846,0.8237206784415747,0.4828231938057606,0.3408974846358141,63.59878717124117,69.2931373822689,74.98748759329662,16.435538716088864,0.7855778732668804,55.776687386775016,72.07349891662598,71.94387450218201,72.0885793823724,84.70203090652201,78.58147314494
2020-04-28,67.52756152629851,73.86189107894897,0.9465878446830089,0.48455228803775585,0.4620355566452531,64.048915587082,69.678174983263,75.307434379444,16.157884151050656,0.8036433549454789,56.84548049412523,72.97175019582112,73.01406277418135,72.37224071502679,88.68328276844848,82.63937647605148
2020-04-29,67.90966650565466,73.86943107414245,0.9629612792839595,0.4007405781109651,0.5622207011729944,64.25404226495766,69.9072248160839,75.56040736721013,16.173385700831254,0.7054836368692806,54.6118642274744,72.77599903742471,73.05612428188324,72.29708349788581,84.32425984043203,85.90319117180086
2020-04-30,68.2663164917628,73.90207104969025,1.1812373641689078,0.49521333039673077,0.686024033772177,64.48364927020198,70.3251997244358,76.16675017866963,16.612965130916134,0.8952974610913224,59.92312084115169,74.53516705830891,74.3188756108284,72.92749186819727,85.92029148332001,86.30927803073352
2020-05-01,68.68786652565001,73.9299910507202,1.3202830778549668,0.5074072352662318,0.812875842588735,65.56399624176387,70.87231231331825,76.18062838487262,14.979943219820244,0.8616203372135379,59.284251503739505,74.67683553695677,74.78063956499099,73.38899178903182,84.66880270710556,84.97111801028588
2020-05-04,69.03394160111745,73.93265854644774,1.2690107196284401,0.364907901631764,0.9041028179966761,66.56828688176049,71.25662480115889,75.9449627205573,13.159023269713323,0.6743822998240405,54.3862360445073,73.2409168879191,73.2555628299713,73.32493104473575,83.38381500800587,84.65763639947716
2020-05-05,69.48732502937315,73.94781353998184,1.286273019973578,0.3057361615815213,0.9805368583920566,68.18227499543605,71.73264976143837,75.28302452744069,9.898908733498121,0.7901597419568874,56.31139697950055,73.32916714350382,73.14775002002716,73.67719959583904,77.42977887345596,81.82746552952246
2020-05-06,69.99014165321985,73.97122852230072,1.3548200194866808,0.2994265288756994,1.0553934906109814,68.47939395668743,72.01612486004828,75.55285576340913,9.822052797853019,0.8746927693265135,58.15479134211148,74.8578335126241,74.77375012636185,74.04906537359886,75.96913472443553,78.92757620196579
2020-05-07,70.34069162607193,73.9964635233879,1.4419457462717844,0.30924180452864247,1.132703941743142,68.95165612989864,72.35829994320869,75.76494375651875,9.41604160402829,0.9286769538384321,59.44690977440912,75.35933329264323,75.34974945783615,74.57048191054831,85.24049275178281,79.54646878322478
2020-05-08,70.73236666838328,74.02668104028702,1.5886035605672504,0.3647196950592866,1.2238838655079638,69.0046292500659,72.67928757190704,76.35394589374818,10.11198222934016,1.0154853907202182,61.905518720397815,76.48991804122925,76.4205758690834,75.37287439629267,91.00257973356496,84.07073573659444
2020-05-11,71.04330001433691,74.06146104097365,1.7562598711275825,0.4259008044956949,1.3303590666318876,69.04537584638855,73.04356260299681,77.04174935960508,10.94740347849415,1.0392989770937324,63.67753139292565,77.18616698582967,77.16975083351134,76.17878838020366,94.26393210691269,90.1690015307535
2020-05-12,71.45006685177484,74.09353605937957,1.8869850950181615,0.44530082270901916,1.4416842723091423,69.19593826061005,73.41881274461745,77.64168722862486,11.50352158021514,0.994946010775626,64.16859003660582,77.40700155893961,77.26025071144103,76.62154287767939,94.80366678332774,93.35672620793514
2020-05-13,71.7379835406939,74.11449606180192,1.8632400175772972,0.33724459621452363,1.5259954213627736,69.21823892918037,73.6019877910614,77.98573665294244,11.912039316996315,0.8062463363842544,59.49207126261556,76.89483466148376,77.14700156450272,76.81872778546673,87.55002042012735,92.20587310345593
2020-05-14,72.02573353052138,74.12429107761382,1.7380067711261091,0.16960907981066842,1.5683976913154407,69.5033797669691,73.8007004082203,78.09802104947148,11.645744870932235,0.6647306646381105,55.91160459722539,75.50400107701618,75.73687553405762,76.62711704243672,74.53901617264172,85.63090112536561
2020-05-15,72.43779184579849,74.13866106891632,1.693034674371475,0.09970958644482741,1.5933250879266476,69.66738157690044,74.00312555193901,78.33886952697758,11.717732035508503,0.745387475593211,58.22463689753098,75.49449990590414,75.34462541341782,76.68639637548844,65.46055683734612,75.84986447670506
2020-05-18,72.81010851065318,74.15318110084534,1.657970766205679,0.05171654262322489,1.6062542235824542,69.75749437553247,74.17837555050849,78.59925672548451,11.919595548343636,0.7484375455944889,58.845038834355535,75.8869991461436,75.68799916505814,76.7753420002906,64.35123076693853,68.1169345923088
2020-05-19,73.26940849224727,74.1825311203003,1.745342710641296,0.11127078964707326,1.6340719209942227,69.89829817494325,74.48865057349205,79.07900297204085,12.324971289471447,0.888080344682569,62.91970869630305,78.01216866175334,77.94937617778778,77.07304078846181,75.89453644880393,68.56877468436286
2020-05-20,73.56349197785059,74.209221159935,1.7753995086299739,0.11306207010860092,1.662337438521373,70.78652802150698,74.91722563028335,79.04792323905973,11.027364064871739,0.8513058923250537,62.00483048372884,78.1573345343272,78.14100140333176,77.47511571119121,81.9197500102873,74.0551724086766
2020-05-21,73.9247503797213,74.24564367103577,1.8946842523397436,0.18587745105469655,1.708806801285047,71.05483989314962,75.30191313266754,79.54898637218545,11.280120418814295,0.967538039126252,65.39984562217106,79.13375010490417,79.04868826866151,78.11445176721936,91.07456449266398,82.96295031725174
2020-05-22,74.19618369102479,74.27133364295959,1.880215781883777,0.13712718447898387,1.7430885974047932,71.64182895467479,75.64627558231352,79.65072220995225,10.587293549650944,0.8177372996760244,61.02799039456615,78.55349961916605,78.7098749756813,78.1961597170148,87.51805192931313,86.83745547742147
2020-05-26,74.47550036589304,74.30347864627838,1.8681139809436047,0.10002030683104923,1.7680936741125555,72.02535838370761,75.94150058507918,79.85764278645075,10.313576032078053,0.8202766356937288,61.68804196372756,78.26699956258136,78.21724976301192,78.30799213702866,86.54615312020275,88.37958984739329
2020-05-27,74.74991701602934,74.33299364995956,1.827491684110484,0.04751840799834284,1.7799732761121412,72.38437723868124,76.20298807382584,80.02159890897043,10.022207610665102,0.7780475929434622,61.156158636985126,78.79999856948852,79.04687356948851,78.37499829166546,78.72989089599237,84.26469864850276
2020-05-28,74.95400038083395,74.35466867375374,1.8083035840625143,0.022664246360298623,1.7856393377022157,73.02240920378598,76.52876327514647,80.03511734650696,9.163493361976794,0.8161743713282271,62.34385880211137,78.16166853904726,78.20575088262558,78.51671490941723,78.3746398537366,81.21689462331058
2020-05-29,75.20160873492559,74.38185369467735,1.7666397561807372,-0.015199665217183078,1.7818394213979203,73.16963607327482,76.71511326551438,80.26059045775393,9.2432300268358,0.7757578581171272,61.976558174951535,79.03749974568684,78.91825014352797,78.68798850090951,77.4058467535248,78.17012583441793
2020-06-01,75.4508088548978,74.4160037176609,1.7847022082368227,0.002290229471121785,1.782411978765701,73.3312318303636,76.95746318578719,80.58369454121078,9.423988799291116,0.8586419858126844,64.61691298208996,79.18833373387655,79.1116255044937,79.10658998803773,83.86638017883689,79.88228892869944
2020-06-02,75.67517552773157,74.44903875422477,1.7819055834748525,-0.0004051162326788038,1.7823106997075313,74.00794938283059,77.29292570590972,80.57790202898886,8.50006981383542,0.8513078281505219,64.74310214545928,79.43600125312804,79.39137626886367,79.50836233222877,88.13139427240064,83.13454040158746
2020-06-03,75.95536716858547,74.4833132417202,1.8113194741554821,0.023207019558360464,1.7881124545971216,74.50540502535249,77.61586315631867,80.72632128728485,8.015006222894678,0.9237136708197069,66.70129677163868,79.89991682370503,79.88731243610381,79.86630141478315,94.5664031043767,88.85472585187142
2020-06-04,76.3387837378184,74.5154682276249,1.853508890575469,0.0523171487826779,1.8011917417927912,74.8329546896157,77.92006308317184,81.00717147672798,7.923783096173723,0.9584282354539294,68.16086815943214,80.65266585350035,80.61937470436095,80.12475155442628,95.52737500141075,92.74172412606269
2020-06-05,76.6276336812973,74.54351821827888,1.8251158490300412,0.019139285789799843,1.8059765632402414,75.1734260029932,78.16836301565169,81.16330002831019,7.662785549337444,0.8466909243469203,65.04870927192155,80.36416657765706,80.39799957275392,80.23436416783184,93.38678684746996,94.49352165108581
2020-06-08,76.98330041249594,74.58115075707435,1.9199779024658454,0.09120107138048317,1.8287768310853623,75.12941037146217,78.44366300106049,81.7579156306588,8.450020059755518,1.0325619430895958,70.08005313637987,81.5815826733907,81.36531242132186,80.66647473314299,92.5914300831126,93.83519731066444
2020-06-09,77.31191708723705,74.62517572951316,2.0067415386099583,0.1423717660196766,1.8643697725902817,75.00422115677338,78.69606299161912,82.38790482646485,9.38253247875666,1.0021796226059365,71.19155103298667,82.01499993006387,81.97625042200087,81.2458035834806,93.76307474988535,93.24709722682263
2020-06-10,77.6334921391805,74.67176072144508,2.0789726026547015,0.17168226405153564,1.9072903386031659,74.90344402042673,78.95331291437148,83.00318180831623,10.25889540148117,0.9680013284741916,72.07442766376579,82.59933393796285,82.46125108003616,81.77212767244701,95.99906682013949,94.11785721771248
2020-06-11,78.02941723505656,74.72371572041511,2.2207009368779183,0.25072847861980185,1.9699724582581164,74.90787307294374,79.34437535762785,83.78087764231196,11.1829030468449,1.0368954020565453,75.34006892177209,83.97524954477944,83.80268709659575,82.65097891398835,95.25635548088512,95.00616568363667
